TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext
multiturn_03032020_1		share	confirm	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)
multiturn_03032020_2		share	confirm	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)
multiturn_03032020_3		share it	confirm	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)
multiturn_03032020_4		share it	confirm	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)
multiturn_03032020_5		please do	confirm	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)
multiturn_03032020_6		please do	confirm	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)
multiturn_03202020_1		share	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_2		share	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_3		share it	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_4		share it	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_5		please do	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_6		please do	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_7		sure	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_8		sure	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_9		yes	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_10		yes	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_11		ok	confirm	files	PromptedForConfirmation			PreviousTurnDomain(files)TaskFrameStatus(promptedforconfirmation)
multiturn_03202020_12		ok	confirm	common	PromptedForConfirmation			PreviousTurnDomain(common)TaskFrameStatus(promptedforconfirmation)
teams_singleturn_05012020_1		open Food with nutrition ppt	file_open						
UWP_singleturn_05012020_1		govind ppt	file_search						
UWP_singleturn_05012020_2		ppt cortana skills govind	file_search						
UWP_singleturn_05012020_3		ppt containing cortana skills	file_search						
UWP_singleturn_05012020_4		cortana skills ppt	file_search						
UWP_singleturn_05012020_5		skills ppt	file_search						
UWP_singleturn_05012020_5		govind's files	file_search						
UWP_singleturn_05012020_6		govind's recent ppt	file_search						
UWP_singleturn_05012020_7		govind's files	file_search						
UWP_singleturn_05012020_8		siri open class class file	file_open						
teams_singleturn_05282020_1		Unique name ppt	file_search						
UWP_multiturn_05282020_1	file_search	govind ppt	file_search	files						
UWP_multiturn_05282020_2	file_search	cortana skills ppt	file_search	files						
UWP_multiturn_05282020_3	file_search	govind's ppt	file_search	files						
Teams-multiturn-05282020v1		none of these, show me more	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v2		none of these, show me more	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v3		show me more	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v4		show me more	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v5		no,show me more	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v6		no,show me more	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v7		show more files	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v8		show more files	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v9		I want a different file	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v10		I want a different file	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v11		i want different files	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v12		i want different files	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v13		I want a different one	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v14		I want a different one	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v15		I want different ones	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v16		I want different ones	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v17		none of these, I want a different one	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v18		none of these, I want a different one	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v19		none of these, I want different ones	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v20		none of these, I want different ones	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v21		no, I want a different one	select_more	files	InProgress			PreviousTurnDomain(files)TaskFrameStatus(inprogress)		
Teams-multiturn-05282020v22		no, I want a different one	select_more	common	InProgress			PreviousTurnDomain(common)TaskFrameStatus(inprogress)		
